,log2FC,pvalue
ODC1,-0.636232034,6.90753308301684e-07
LAMP3,-1.094359401,1.76275123076475e-06
CENPE,-0.898362997,2.66310742751153e-06
IL12RB2,-0.867520581,1.89235302188375e-05
PSAT1,-0.655830334,1.98101825838062e-05
PDK1,-0.651262729,2.11998632333752e-05
ITM2C,-0.996967711,3.73695586989544e-05
E2F8,-0.696542292,4.56406248842973e-05
IDO1,-0.613597623,9.77843901384388e-05
CXCL10,-0.799607368,0.000204759007550142
IGHM,-0.791379029,0.000934361462641914
TRPV6,-0.678061721,0.00180699128169532
IGKV1-17,-0.818785496,0.00260449592170977
CALML5,-1.049754506,0.00407063907945158
CCL18,-0.735168714,0.00484721197686707
TBC1D9,1.18808447362716,1.38018667051018e-09
CCND1,1.1375280408092,1.64793909565355e-09
ESR1,0.729511399623683,3.25945969486012e-09
GATA3,1.49225076970571,8.66902341594384e-09
TSPAN1,1.45420300986831,1.35856400195901e-08
NAT1,1.56212115328171,1.91007024733572e-08
DNAJC12,1.41068809703939,5.97889822529288e-08
STC2,1.00245333788396,5.65648115797337e-07
SCUBE2,1.51247284728216,2.18434192878966e-06
GFRA1,1.03287615262059,9.65338808308599e-06
DNALI1,1.24330333110198,9.89072461607017e-06
THSD4,0.605272949188672,1.00496761491785e-05
PLAT,0.920183443261624,2.05761071836091e-05
STK32B,0.717822982866598,2.44927690380524e-05
IL6ST,0.678254828424234,2.70937642680386e-05
EVL,0.643180176213484,4.81683179703802e-05
PGR,1.11988442442978,0.000118467271336832
GAMT,0.949735111176917,0.000325992803884955
CLSTN2,0.741511098558426,0.000805072286486263
AFF3,0.655530105022047,0.000965924923192195
